Sentence,Sentiment
I'm on top of the world right now!,happy
It's like nobody understands!,angry
I'm so happy I could sing!,happy
It's a genuinely fantastic feeling!,happy
Every day is a struggle against sadness.,sad
Why can't things just go right for once?,angry
"Say that again, motherfucker.",angry
I'm in the middle of working on a project.,neutral
I'm so annoyed I can't focus!,angry
I'm so outraged by this!,angry
The pain of sadness is overwhelming.,sad
Why is everything so complicated?,angry
The tears just won't stop falling.,sad
I'm sick of being ignored!,angry
This is the last straw!,angry
I'm going about my day as usual.,neutral
I'm just so sad and I don't know why.,sad
Feeling super excited about everything!,happy
Can't complain either way.,neutral
I've had it up to here with this!,angry
Why can't things just go my way for once?,angry
I'm suffocating under all this sadness.,sad
It's like happiness is just out of reach.,sad
I feel like I'm losing myself in this sadness.,sad
I feel so helpless and hopeless.,sad
I feel like there's a cloud hanging over me today.,sad
I'm brimming with joy and excitement!,happy
Every smile feels forced and empty.,sad
I'm sorting my files.,neutral
I'm fading away in this sea of sorrow.,sad
I'm so angry I could scream!,angry
I'm living in a nightmare I can't wake up from.,sad
I feel like I'm about to explode!,angry
Today is full of pleasant surprises!,happy
I'm studying for an exam.,neutral
Just stretching a bit.,neutral
Just a regular day at work.,neutral
It's a day full of smiles and laughter!,happy
I'm commuting to my office.,neutral
Today has been filled with nothing but disappointment.,sad
I can't find the strength to smile today.,sad
Just waiting for a friend.,neutral
I'm drowning in my own tears.,sad
This happiness is just unbeatable!,happy
The world feels cold and unforgiving.,sad
I can't remember the last time I felt happy.,sad
Just thinking about my plans.,neutral
Nobody ever listens to me!,angry
I've had enough of this nonsense!,angry
I'm feeling incredibly cheerful and lively!,happy
This is just beyond annoying!,angry
Just looking out the window.,neutral
I can't escape these feelings of despair.,sad
Today has been an absolute dream!,happy
I'm working out at the gym.,neutral
I'm struggling to find any joy in things I usually love.,sad
This delight is just overwhelming!,happy
It's a day to remember for all the joy!,happy
I'm having a snack.,neutral
I'm answering some emails.,neutral
Just doing some chores around the house.,neutral
I'm just so god damn elated.,happy
My heart is overflowing with joy!,happy
I can't believe how unfair this is!,angry
Just listening to some music.,neutral
Feeling so lucky and blessed today!,happy
This is absolutely ridiculous!,angry
I'm on the edge of losing it!,angry
Feeling so joyful and alive!,happy
I'm just sick of all these problems!,angry
I can't stand this anymore!,angry
I'm so frustrated with everything!,angry
I'm experiencing pure bliss!,happy
It feels like the world is just a dark place.,sad
I'm just so tired of feeling this way.,sad
I'm cherishing every moment today!,happy
I'm just loving life to the fullest!,happy
Feeling like the happiest person in the world!,happy
Every laugh feels hollow and meaningless.,sad
The darkness of sadness is all-consuming.,sad
Feeling absolutely blissful right now!,happy
I'm in a state of pure euphoria!,happy
Every day feels more difficult than the last.,sad
This joy is just contagious!,happy
I'm surrounded by so much positivity!,happy
Just browsing the internet.,neutral
I'm just so happy I could cry!,happy
Nothing out of the ordinary is happening.,neutral
Every moment today is a joy!,happy
I am working on my tasks.,neutral
I can't deal with this level of frustration!,angry
I'm just doing my usual thing.,neutral
I feel betrayed and let down!,angry
I'm just so overwhelmed with sadness.,sad
Everything feels so right and perfect!,happy
I'm feeling absolutely delighted today!,happy
Just working on my computer.,neutral
Just enjoying a quiet evening.,neutral
I'm at my wit's end!,angry
I'm updating my to-do list.,neutral
I'm tired of being pushed around!,angry
I'm looking for a book to read.,neutral
"I'm just going through the motions, feeling numb.",sad
I'm so tired of feeling this way.,sad
I'm not going to take this anymore!,angry
I'm at the end of my rope!,angry
I can't believe this shit!,angry
I'm lost in a sea of sadness.,sad
I'm making a cup of coffee.,neutral
"It's just a regular day, nothing special.",neutral
I am in a great mood right now.,happy
I'm struggling to hold back the tears.,sad
I'm losing my patience!,angry
Just sitting and relaxing for a bit.,neutral
"I'm so angry, I can barely speak!",angry
It's like no one cares about how I feel!,angry
I'm enveloped in a blanket of sorrow.,sad
"So much happiness, so much fun!",happy
I'm sick and tired of all this nonsense!,angry
I'm trying a new recipe.,neutral
This is one of the best days of my life!,happy
I'm so grateful for all the good in my life!,happy
This is making me so mad!,angry
Nothing seems to cheer me up.,sad
Feeling fantastic and full of life!,happy
I'm waiting for a delivery.,neutral
There's a constant ache in my heart.,sad
I'm just so sick of all this bullshit!,angry
I'm just so angry I can't even think straight!,angry
Everything is just infuriating me right now!,angry
I'm preparing a meal.,neutral
I'm caught in a downpour of despair.,sad
What the fuck is wrong with everyone?,angry
Just taking a walk in the park.,neutral
It's like a shadow has fallen over my heart.,sad
I'm fixing something in the house.,neutral
I'm in such a great mood today!,happy
I'm ironing my clothes.,neutral
I feel so broken inside.,sad
I'm filled with so much happiness!,happy
I'm just going through my daily routine.,neutral
"Feeling so happy, nothing can bring me down!",happy
I'm just basking in this joyous moment!,happy
I couldn't be happier with how things are going!,happy
I'm so fed up with everything!,angry
My spirits are soaring high today!,happy
Everything seems so bleak and hopeless.,sad
I feel so alone and isolated right now.,sad
What a fabulous day it's been!,happy
Fuck everything and everone.,angry
Nothing seems to matter anymore.,sad
Happiness is all around me today!,happy
I'm just so frustrated and angry!,angry
I'm reading the news.,neutral
Just learning something new online.,neutral
I'm shopping for groceries.,neutral
What a splendid time I'm having!,happy
I can't seem to shake off this feeling of despair.,sad
I'm trapped in a fog of sorrow.,sad
This is such a delightful day!,happy
I can't take this anymore!,angry
I'm so done with all of this!,angry
Nobody gives a damn about me.,sad
This is completely unacceptable!,angry
I'm cleaning up the kitchen.,neutral
Why does this always happen to me?,angry
I'm so infuriated right now!,angry
It's a day of pure joy and laughter!,happy
I'm having lunch right now.,neutral
I'm packing for a trip.,neutral
I'm planning my schedule.,neutral
I've never been this upset in my life!,angry
It's hard to see any light in this darkness.,sad
I feel like screaming in frustration!,angry
I'm glowing with happiness!,happy
I'm just doing what I do every day.,neutral
Just taking a short break.,neutral
It feels like I'm fighting a losing battle!,angry
I'm writing a report.,neutral
Feeling so content and fulfilled!,happy
It's a beautiful day to be happy!,happy
I'm just so angry about everything!,angry
It feels like I'm walking through a never-ending storm.,sad
I'm loving every second of today!,happy
I'm just reading a book right now.,neutral
Everything is going wonderfully!,happy
I'm calling a friend.,neutral
What a wonderful day it is.,happy
I can't believe I'm being treated this way!,angry
I'm overwhelmed with a sense of sadness.,sad
I'm watching a documentary.,neutral
Feeling incredibly pleased with everything!,happy
There's a heaviness in my soul today.,sad
It's a gloomy and sad day for me.,sad
Just watching some TV.,neutral
Every moment is a reason to smile!,happy
It's like all the color has drained from the world.,sad
I hate how things are going right now!,angry
Everything is just annoying me today.,angry
"I'm so angry, I'm shaking!",angry
I'm sinking deeper into sadness.,sad
I'm just filled with so much anger!,angry
I'm just going about my business.,neutral
I'm just radiating happiness today!,happy
I'm savoring this wave of happiness!,happy
I feel so disconnected from everything.,sad
I'm attending a meeting.,neutral
I'm watching the sunset.,neutral
I'm doing some gardening.,neutral
It feels like my heart is breaking.,sad
This is driving me crazy!,angry
I'm walking my dog.,neutral
I'm checking my messages.,neutral
It feels like everyone is against me!,angry
Just running some errands.,neutral
I'm just filled with rage!,angry
My world is crumbling around me.,sad
I'm organizing my room.,neutral
What a joyous and wonderful day!,happy
